user_input,retrieved_contexts,response,reference,faithfulness,answer_correctness,context_precision,context_recall
Why is the MAS's exchange rate policy more effective than interest rate policy for Singapore?,"['to\n \nkeep\n \nimported\n \ninflation\n \nat\n \nbay.\n \nSingapore’s\n \nexchange\n \nrate\n \npolicy\n \nwould\n \npartially\n \noffset\n \nthe\n \npositive\n \neffects\n \non\n \nSingapore’s\n \nexport\n \nprice\n \ncompetitiveness\n \nas\n \nprices\n \nof\n \nSingapore’s\n \nexports\n \nin\n \nterms\n \nof\n \nforeign\n \ncurrencies\n \nwould\n \nbe\n \nhigher\n \nwith\n \nstronger\n \nSGD.\n \nTherefore,\n \nSingapore\n \nshould\n \nalso\n \nimplement\n \npolicies\n \nto', ""©ACJC Econs Dept/2024/Macroeconomic Policies Part 1: Demand Side Policies           26 \nMAS implements this managed float exchange rate regime by targeting the \nSingapore dollar's nominal effective exchange rate (NEER) within an \nundisclosed policy band. \n \n \n \n \nReferring to the graphic above, MAS can adjust the following few \ncomponents to influence our Singapore’s exchange rate:"", 'as a slight appreciation of the Singapore dollar from P0 to P* and the value of S$ in terms of \nUS$ remains within the band. \n5 Exchange Rate Policy and its Effectiveness \nChanges in exchange rates can affect the price of exports in terms of foreign currencies, as \nwell the price of imports in terms of domestic currency. In other words, the management of', 'Singapore’s exchange rate policy has a significant impact in affecting her export \ncompetitiveness. The relative importance of external demand in Singapore means that \ntraditional monetary policy tools like money supply and interest rates, which largely affect \ndomestic demand (i.e. C and I) have a smaller influence on the overall level of economic', 'R3: Exchange rate policy \nExchange rate policy \nMaintaining export competitiveness using exchange rate policy \uf0e0 due to our import \nreliance, Singapore has been adopting a policy of gradual appreciation \uf0e0 manage the \nincrease in cost of production \uf0e0 dampen the fall in SRAS \uf0e0 reduce pressure on prices \n- Limitation: an appreciation will hurt our export price competitiveness, may cause']",,"As a small and open economy, Singapore is a price-taker with a high dependence on imports and exports. Interest rate policy is ineffective due to perfect capital mobility (interest rate parity), while the exchange rate directly manages imported inflation and export competitiveness.",,,0.5333333333155555,0.0
"Explain how the ""Productivity Solutions Grant (PSG)"" acts as a supply-side policy in Singapore.","['years of the Covid-19 pandemic) → the Singapore government paid a \nportion of residents’ wages → this lowers the unit cost of production \nfor firms → increases firms’ willingness and ability to produce → \nincrease SRAS.  \n \nCentral Provident Fund (CPF) variable component \n• Workers in Singapore must make compulsory contributions to their', 'taking the recent increases in the Goods and Services Tax (GST) from 3% to 5% and then to 7% in their \nstride. In return, the PAP gives handouts to lower income families, continually upgrades infrastructure, and \nsubsidises skills upgrading courses, ensuring that citizens in Singapore have a decent standard of living.', 'relevant\n \nthus\n \nmore\n \nproductive\n \ncan\n \nproduce\n \nmore\n \noutput\n \nper\n \nunit\n \nlabour\n \nhour.\n \nThis\n \nmeans\n \nthat\n \nthe\n \ncost\n \nof\n \nproducing\n \neach\n \nunit\n \nof\n \noutput\n \nwill\n \ndecrease\n \nthus\n \nprofitability\n \nis\n \nhigher.\n \nThe\n \nresultant\n \nhigher\n \nproductivity\n \nand\n \na\n \nready\n \npool\n \nof\n \nhighly\n \nskilled\n \nagile\n \nworkers\n \nwould\n \nhelp\n \nSingapore\n \nattract\n \nand\n \nretain', 'in a subs titution effect since Singapore does not have m any domestically produced \nsubstitutes. \n• AD increases ➔ economy has lesser spare productive capacity  ➔ firms experience \nunplanned decrease in inventory of stocks ➔ firms increase production and employment ➔ \nthis triggers the onset of the multiplier process where the employed workers increase induced', 'research with the objective of developing new products and/or \nmethods of production.  \n• Example 2 : Productivity Solution Grant (PSG) provides up to 50% \nfunding for Small-Medium Enterprises (SMEs) to procure equipment \nor digitalisation efforts (e.g. building websites) that allows the firm \nto increase its productivity. \n• Example 3 : incentivising Multinational Corporations (MNCs) (e.g.']",,"The PSG reduces the marginal cost of technology adoption for firms, shifting the Long-Run Aggregate Supply (LRAS) curve to the right by increasing capital productivity and potential output (Yf).",,,0.0,0.0
Discuss the impact of a global recession on Singapore’s Balance of Payments (BOP).,"['b) Outlook of the global economy \n \nDuring a global recessions, other countries are concurrently facing recession \nor slow economic growth. This means that even if Singapore’s exports are \ncheaper in foreign currencies, foreign households may not be willing and \nable to consume the exports, gi ven their falling incomes and higher desire', 'factors is highly dependent on the strength of global economic growth which then determines \nthe strength of Singapore’s external demand. This is especially so since Singapore produces \nhigh value-added goods and services with YED value > 0 so during recessions, the demand \nfor Singapore’s exports will inevitably fall regardless of  improvements to export', 'global demand for goods and services , including resources,  tends to be \nweak during global recession or slowdown, and this would likely depress \nglobal prices, hence dampening the effect of imported inflation. Hence, \nSingapore allowed the exchange rate to weaken during global recessions \nsuch as 2009 and 2020. \n \nb) Outlook of the global economy', 'in\n \nlower\n \ngrowth\n \n(or\n \nrecession),\n \nemployment\n \nand\n \nmaterial\n \nliving\n \nstandard\n \nin\n \nSingapore.\n \nMoreover,\n \nbeing\n \nimport-reliant\n \nwould\n \nsuggest\n \nthat\n \nSingapore\n \nwould\n \nbe\n \nvulnerable\n \nto\n \nchanges\n \nin\n \nglobal\n \nsupply\n \nshocks\n \nas\n \ncompared\n \nto\n \nother\n \ncountries.\n \nFor\n \nexample,\n \nthe\n \n2019\n \ndrone\n \nattacks\n \nthat\n \ncrippled\n \nSaudi\n \nArabia\n \noil', 'revenue and hence, AD . Hence, exchange policies are not likely to be very effective during a \nglobal recession.  \nAt the same time, Singapore has strong fiscal reserve due to years of budget surpluses. This \nallows the government significant funds, allowing the government to increase G substantially. \nSince this is independent of market sentiment and trading partner’s spending, it is also more']",,"A global recession reduces foreign income, leading to a fall in demand for Singapore's exports (X). This worsens the Current Account. However, if investors seek ""safe havens,"" the Capital and Financial Account might see inflows, partially offsetting the BOP deficit.",,,0.8333333332916666,0.5
Why does the Singapore government provide subsidies for the COVID-19 vaccine?,"['governments, as well as private hospitals jointly provide vaccination. Like other governments, the \nIndian federal government administers vaccines for free, but private hospitals which obtain \nvaccines at much higher prices, could charge market prices.  On the other hand, states in the US \nare deploying various rewards to drive up coronavirus vaccination rates. Californians 12 years', 'vaccination because it is under-consumed by the society.  \n \nHowever, instead of reimbursing the consumers, the government provides a subsidy to the \nproducers which leads to the effect of a fall in cost of production for the vaccines. Assuming the \ncost savings is passed on to the consumers, this reduces the MPC of the consumers as they will \nnow pay less for the vaccine.', 'distribute the newly-developed COVID-19 vaccines to less economically developed countries, \nparticularly those in Africa and South Asia, who could not afford to secure millions of doses \nfor their citizens, thus reducing the extent of healthcare inequality and giving these nations \na fighting chance to recover from the socioeconomic effects engendered by the global', 'However, instead of reimbursing the consumers, the government provides a subsidy to the \nproducers which would therefore lead to the effect of a fall in cost of production for the vaccines.  \nAssuming the cost savings is passed on to the consumers, this reduces the MPC of the \nconsumers as they will now pay less for the vaccine.', 'vaccines incentivizes producers to allocate more resources to produce \nmore Covid vaccines and in research an d technology to fight the new \nvariants. \n \n \n(2) How the prices of factors of production (FOP) serve as an incentive to \nproducer when answering ‘How to produce?  In this case, the price s of \nFOP will be relevant to the producers. When the prices of FOP rises, it']",,"Vaccination is a merit good with positive externalities in consumption (herd immunity). In a free market, individuals ignore external benefits, leading to under-consumption and deadweight loss. Subsidies shift MPB towards MSB to reach the social optimum (Qs).",,,0.0,0.0
"How does a high ""Marginal Propensity to Save (MPS)"" in Singapore affect the multiplier size?","['• Small multiplier size  \nSingapore has relatively high withdrawal propensity, as seen by the relatively high MPS (due \nto CPF savings) and high MPM (import-reliant due to lack of natural resources). This means that \nwith every additional income earned, a large proportion of it leaks out of the economy  as', ""multiplier effect. \nSingapore’s multiplier is relatively small. This is because Singapore has a very open economy, \nwhich means that the marginal propensity to import (MPM) is likely to be very high.  Also, \nSingapore has a high savings rate due to compulsory savings scheme such as the CPF; hence \nthe marginal propensity to save (MPS) is likely to be high.   \nk = '\u0b52ଢ଼\n'\u0b45ୈ\n  = ଵ\n\u0b51\u0b54\u0b5b or ଵ\nଵି\u0b51\u0b54େ"", 'that labour is a derived demand. This triggers the onset of the multiplier process where \nhouseholds earning higher income will consume more goods and services, raising AD further, \nand firms again experience an unplanned fall in their inventory of stocks. All in all, Singapore’s \nreal national income increases by a multiplied extent, coupled with an increase in employment.', 'will be since the increase in AD will have a less significant impact on \nnational income.  \n• Example: Singapore has a high marginal propensity to import due to \nthe lack of natural resources and a high marginal propensity to save \ndue to the compulsory state savings scheme (CPF) and Asian’s culture \nof thrift. This results in Singapore having a smaller multiplier size', 'has a larger effect on the overall level of economic activity in \nSingapore than in economies where domestic consumption makes \nup the bulk of aggregate demand. \nCosts \nA stronger currency will result in less competitively priced exports \nfor Singapore which will have repercussions on balance of trade and \neconomic growth.  \nLower net export revenue will lead to a fall in aggregate demand.']",,"Singapore has a high MPS due to compulsory CPF savings. According to the formula k = 1/(MPS+MPT+MPM), a high MPS increases the denominator, resulting in a small multiplier effect (k), meaning fiscal stimulus has a limited impact on National Income.",,,0.9166666666361111,0.5
Is the demand for Singapore's electronics exports likely to be price elastic or inelastic?,"['high\n \nprecision,\n \nand\n \nstringent\n \nquality\n \ncontrol,\n \nmaking\n \nits\n \nproducts\n \nglobally\n \nsought-after.\n \nTherefore,\n \nother\n \ncountries\n \nhave\n \na\n \nhigh\n \npreference\n \nfor\n \nSingapore’s\n \ntechnology\n \nand\n \nhence\n \nthere\n \nis\n \nhigh\n \ndemand\n \nfor\n \nSingapore’s\n \nelectronic\n \nproducts.\n \nHence,\n \na\n \nlarge\n \nproportion\n \nof\n \nSingapore’s\n \nexports\n \nconsists\n \nof\n \nelectronics.', ""To  evaluate,  due  to  Singapore's  small  size,  it  generally  cannot  produce  at  a  large  enough  scale  to  \nenjoy\n \nsignificant\n \neconomies\n \nof\n \nscale.\n \nAs\n \nsuch,\n \nit\n \ntends\n \nto\n \nproduce\n \nat\n \na\n \nhigher\n \naverage\n \ncost\n \nof\n \nproduction,\n \nwhich\n \nis\n \npassed\n \non\n \nto\n \nconsumers\n \nin\n \nterms\n \nof\n \nhigher\n \nprices.\n \nHence,\n \nSingapore’s\n \nexports\n \ntend\n \nto\n \nnot\n \nbe"", 'goods and services, reducing our export price competitiveness.  \nAssuming the demand of Singapore exports are price elastic (|PEDx|>1), the fall in the price \nof exports leads to a more than proportionate decrease in quantity demanded, results in a fall in \nexport revenue (X). Meanwhile, if imports and domestically produced goods are  close', 'Singapore’s\n \nexports\n \ntend\n \nto\n \nnot\n \nbe\n \nvery\n \nprice\n \ncompetitive.\n \nThis\n \nhence\n \nweakens\n \nthe\n \neffect\n \nof\n \nSingapore’s\n \nquality\n \ncompetitiveness,\n \nas\n \nthe\n \nhigher\n \nprice\n \nmakes\n \nconsumers\n \nabroad\n \nless\n \nwilling\n \nand\n \nable\n \nto\n \nbuy\n \nSingapore’s\n \nproducts.\n \nHence,\n \nthe\n \nquality\n \ncompetitiveness\n \nof\n \nSingapore’s\n \nproducts\n \nmight\n \nbe\n \noverstated.', 'o As US and China are open economies with huge domestic markets, Singapore’s \ncheaper exports to US and Chinese markets are very likely to be price elastic (e.g. \nmore than proportionate increase in number of Chinese tourists) \n▪ SGD depreciation against USD and RMB → large increase in  Singapore’s \nexport revenue from US and China']",,"Highly price elastic (PED > 1) due to the availability of many international substitutes (e.g., from Taiwan or Korea). Thus, a slight increase in the exchange rate can lead to a more than proportionate fall in quantity demanded, worsening export revenue.",,,0.36666666664833336,0.0
"Explain the ""Crowding Out Effect"" in the context of Singapore’s fiscal policy.","['©ACJC Econs Dept/2024/Macroeconomic Policies Part 1: Demand Side Policies           12 \nGood to know: Implications of government deficit and debt. \n \n• Budget deficits can be financed through past accumulated fiscal \nreserves or through borrowing. One advantage that Singapore has is \nprudent spending  by the government which has allow ed it to', 'government expenditure, and the Singapore government does not have any external debt. This \npractice of fiscal discipline ensures that government funds can b e put into good use for \nSingapore’s development in all sectors.', ""world-class economic infrastructure and services. This is evidenced by the fact that \ndevelopment expenditure accounted for around one-third of government expenditure on \naverage over the last three decades. \nSingapore's tax policies, although providing the main source of funding for the government, \nseek to enhance its economic competitiveness and attract foreign investments to \nSingapore."", 'government debt. Large national debt will also have other negative \nimplications such as increasing the debt payment for future \ngenerations.  \n• Since Singapore has accumulated past reserves, this may be less of a \nconcern. However, the government is only able to accumulate \nreserves due to prudent use of its budget. \n \nb) Crowding-out effect', 'its spending. \n\uf0a7 When the government borrows money to finance the increase in government expenditure, \nthe government will compete with the private investors for the limited amount of the \nloanable funds. As demand for the loanable funds increases, interest rate, i.e. , cost of \nborrowing, will increase. You will learn more  about interest rate determination under \nMonetary Policy.']",,"Crowding out is generally less significant in Singapore because the government finances spending through accumulated reserves rather than borrowing from the domestic loanable funds market, thus avoiding upward pressure on interest rates.",,,0.7499999999625,0.0
"Why is ""Cyclical Unemployment"" a major concern for Singapore compared to ""Structural Unemployment""?","['the\n \ndecrease\n \nin\n \nSingapore’s\n \nreal\n \nnational\n \noutput\n \nwould\n \nsuggest\n \ndemand\n \nfor\n \nworkers\n \nwould\n \ndecrease\n \nthus\n \nresulting\n \nin\n \nan\n \nincrease\n \nin\n \ncyclical\n \nunemployment\n \nin\n \nSingapore.\n \nVia\n \nthe\n \nreverse\n \nmultiplier\n \neffect\n \nwhere\n \nincome\n \ngenerates\n \nexpenditure\n \nand\n \nexpenditure\n \ngenerates\n \nincome,\n \nSingapore’s\n \nreal\n \nnational\n \nincome\n \nwould', 'unemployment, with particular reference to the Singapore context. We will also \nstudy the impact of global (external) trends and developments on the \nnational, regional and international economies, and their implications for policy \nchoices and governmental decisions. \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \n \nFigure 2: Overview of Theme 3: The National Economy \n \n  \nImprove \nLiving', 'a\n \nderived\n \ndemand.\n \nAs\n \nsuch,\n \ncyclical\n \nunemployment\n \nwould\n \ndecrease.\n \nMore\n \nfactor\n \npayment\n \nwould\n \nalso\n \nbe\n \npaid\n \nthus\n \nSingapore’s\n \nnational\n \nincome\n \nwould\n \nincrease.\n \nVia\n \nthe\n \nmultiplier\n \neffect\n \nwhere\n \nincome\n \ngenerates\n \nexpenditure\n \nand\n \nexpenditure\n \ngenerates\n \nincome,\n \nSingapore’s\n \nnational\n \nincome\n \nwould\n \nincrease\n \nmore\n \nthan', '15 \n©ACJC Econs Dept/2024/Domestic Macroeconomic Problems \nSection C: Essays Questions \nQuestion 1:  \n \n(a) Using circular flow of income, explain how COVID -19 impact ed Singapore’s \neconomic growth and unemployment. [10] \n   \n(b) Discuss whether an increase in government spending during COVID -19 will \nhave a significant impact on inclusive growth and unemployment in Singapore. [15]', 'Singapore’s economy might follow suit. In this scenario, the labour market \nwould remain tight and unemployment rates low. \n \nOn the other hand, a global recession could spell negative growth and \nhigher unemployment rates for Singapore. \n \nSource: Channel NewsAsia (CNA) & The Straits Times, 1 May 2022 & 22 \nJun 2022 \n \n(Pre-Lecture) Questions:']",,"As an export-oriented economy, Singapore is highly vulnerable to fluctuations in the global trade cycle. While structural issues exist (skills mismatch), global downturns cause rapid shifts in AD, leading to significant cyclical unemployment.",,,0.0,0.0
"Evaluate the use of ""Carbon Taxes"" in Singapore to correct market failure.","['on carbon to establish market incentives and provide the needed clarity and \nstability required for investments. Carbon tax, and supportive government \npolicies, can help to incentivise more industries and sectors to invest in research \nor technologies to reduce emissions,  she said.  “As Singapore has an export -\noriented economy, it is also important that the designed carbon tax framework', 'climate change. Carbon tax helps to reduce \nemissions and fight climate change in three \nmain ways: By increasing the cost of using \nEfforts by the government to conserve the \nenvironment are technically nullified when \nSingapore’s policy decisions continue to prioritise \neconomic growth which extensively harms the \nenvironment. This shows our lack of sincerity and', '©ACJC Econs Dept/2023/H2 Market Failure 64 \nAnnex 1: \n \n Decision Making by the Government  \nDecision Making Framework for Governments \n \nLecture activity: \n \nRead the articles in the appendix at the end of this set of notes. Try to apply the \nframework given in this section to understand the Singapore government’s \ndecision-making process in implementing carbon taxes.', '75 \n©ACJC Econs Dept/2025/H2 Market Failure \nAnnex 2: \n \n Decision Making by the Government  \nDecision Making Framework for Governments \n Lecture activity: \n \nRead the articles in the appendix at the end of this set of notes. Try to apply the \nframework given in this section to understand the Singapore government’s \ndecision-making process in implementing carbon taxes.', 'discharge. \nIf the tax is big enough, producers would cut pollution to avoid paying the tax. But where this \ndoesn’t happen, the tax revenue raised could support cleaner fuels. More than 40 countries, \nincluding Singapore and several member countries of the European Union (EU), have adopted \ncarbon taxes, albeit at different stages of implementation and widely varying rates.']",,"A carbon tax internalizes the external cost of pollution (Negative Externality in Production). By setting a tax equal to the Marginal External Cost (MEC) at the social optimum, the MPC is shifted to the MSC, eliminating deadweight loss.",,,0.0,0.0
"How does the ""Singapore-Australia Free Trade Agreement (SAFTA)"" affect the domestic labor market?","['barriers\n \nto\n \nlabour\n \nflow\n \nwhich\n \nmake\n \nit\n \ntroublesome\n \nfor\n \nlabour\n \nto\n \ntravel\n \nbetween\n \ncountries\n \nare\n \nreduced\n \nvia\n \ngovernment\n \npolicies.\n \nThis\n \nwould\n \nallow\n \nlabour\n \nfrom\n \nall\n \nover\n \nthe\n \nworld,\n \nto\n \nmigrate\n \nmore\n \nfreely\n \nto\n \nSingapore.\n \nHence,\n \nthis\n \nimproves\n \nthe\n \nefficiency\n \nof\n \nthese\n \nprocesses,\n \nmaking\n \nit\n \nmore\n \nfavourable\n \nfor', 'each the two major economies.  \nR1: Singapore as a small and open economy may tend to lose from the ongoing trade \nwar  \n \n• Disrupted supply chains \uf0e8 rising cost of imported raw materials  (e.g. steel) \uf0e8  \nhigher unit COP \uf0e8 SRAS falling (shift left, SRAS1 to SRAS2) \uf0e8 pass on average cost \nincrease to consumers in terms of higher GPL, firms also cut down production as its', 'more expensive to produce \uf0e8 lower demand for labour (derived demand) as national \noutput fell from RNY1/ Y1 to RNY2/ Y2 \n• Effect on Singapore’s economy: fall in actual EG, Higher imported inflation, \nhigher unN \n• Consumers withhold spending given their incomes falling and in view of rising prices \n(movement along AD) \uf0e8 material SOL may fall with lesser accessibility to goods and \nservices.', 'reducing price towards MC, hence reducing allocative inefficiency. \n  \nPlease see the diagrammatic analysis on the next page. \nIn the News \n \nRejecting global protectionism, Singapore government lowers barrier to \nentry for foreign startups \n \nRejecting the political currents sweeping countries like the US towards \neconomic nationalism, the Singapore government wants to position itself as', 'labour.\n \nThis\n \nwould\n \nresult\n \nin\n \na\n \ngain\n \nin\n \nCA\n \nin\n \nthe\n \nproduction\n \nof\n \nhigh-skilled\n \nlabour-intensive\n \ngoods\n \nsuch\n \nas\n \nIT\n \nelectronics\n \nin\n \nSingapore.\n \nAnother\n \nexample\n \nwould\n \nbe\n \nthe\n \nprovision\n \nof\n \nsubsidies\n \nin\n \nR&D\n \nby\n \nthe\n \nSingapore\n \ngovernment\n \n(e.g.\n \nProductivity\n \nand\n \nInnovation\n \nCredit).\n \nThis\n \nwill\n \nlower\n \nthe\n \ncost\n \nof\n \nR&D\n \nfor']",,"SAFTA increases market access, boosting AD and demand for labor in export sectors. However, it may increase structural unemployment in sunset industries that cannot compete with cheaper Australian imports, necessitating retraining.",,,0.0,0.0
